keyword,bestUrl,coverageScore,band,action
부산 근저당권 변경등기,/부산부동산등기,100,COVERED_STRONG,KEEP
부산 전세권 말소,/방문없이준비하는전세권말소,88,COVERED_STRONG,KEEP
부산 전세권 말소 법무사,/방문없이준비하는전세권말소,88,COVERED_STRONG,KEEP
부산 소유권보존등기 법무사,/부산신축건물보존등기,94,COVERED_STRONG,KEEP
부산 신축 아파트 보존등기,/부산신축건물보존등기,94,COVERED_STRONG,KEEP
부산 신축 상가 보존등기,/부산신축건물보존등기,94,COVERED_STRONG,KEEP
부산 공장 보존등기,/부산신축건물보존등기,94,COVERED_STRONG,KEEP
부산 건물 철거 멸실등기,/부산건물멸실등기,88,COVERED_STRONG,KEEP
부산 일부 철거 표시변경등기,/건물일부철거표시변경,88,COVERED_STRONG,KEEP
해운대구 법인등기 법무사,/해운대구법인등기,94,COVERED_STRONG,KEEP
센텀 법인등기 법무사,/센텀법인설립등기,94,COVERED_STRONG,KEEP
재송동 법인등기 법무사,/해운대구법인등기,94,COVERED_STRONG,KEEP
수영구 법인등기 법무사,/수영구법인등기,86,COVERED_STRONG,KEEP
연제구 법인등기 법무사,/연제구법인등기,94,COVERED_STRONG,KEEP
동래구 법인등기 법무사,/동래구법인등기,86,COVERED_STRONG,KEEP
부산진구 법인등기 법무사,/부산진구법무사,94,COVERED_STRONG,KEEP
남구 법인등기 법무사,/남구법무사,94,COVERED_STRONG,KEEP
북구 법인등기 법무사,/북구법무사,94,COVERED_STRONG,KEEP
금정구 법인등기 법무사,/금정구법무사,94,COVERED_STRONG,KEEP
사상구 법인등기 법무사,/사상법무사,94,COVERED_STRONG,KEEP
사하구 법인등기 법무사,/사하구법무사,94,COVERED_STRONG,KEEP
강서구 법인등기 법무사,/강서구법무사,94,COVERED_STRONG,KEEP
명지 법인등기 법무사,/강서구법무사,94,COVERED_STRONG,KEEP
기장군 법인등기 법무사,/기장군법인등기,86,COVERED_STRONG,KEEP
부산 법인설립 준비서류,/부산법인설립등기,100,COVERED_STRONG,KEEP
부산 법인설립 대행,/부산법인설립등기,100,COVERED_STRONG,KEEP
부산 주식회사 설립등기,/부산법인설립등기,100,COVERED_STRONG,KEEP
부산 유한회사 설립등기,/부산유한회사설립등기,84,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 1인회사 설립,/부산1인법인설립,84,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 법인 임원중임,/부산임원임기만료등기,81,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 법인 임기만료 과태료,/부산임원임기만료등기,81,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 대표이사 중임등기,/부산대표이사변경등기,88,COVERED_STRONG,KEEP
부산 이사 중임등기,/부산임원임기만료등기,81,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 감사 중임등기,/부산임원임기만료등기,81,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 법인 본점이전,/부산본점이전등기,88,COVERED_STRONG,KEEP
부산 관외 본점이전,/부산본점이전등기,88,COVERED_STRONG,KEEP
부산 관내 본점이전,/부산본점이전등기,88,COVERED_STRONG,KEEP
부산 법인 목적변경,/부산사업목적변경등기,88,COVERED_STRONG,KEEP
부산 법인 상호변경,/부산상호변경등기,84,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 제3자배정 유상증자,/부산제3자배정유상증자,88,COVERED_STRONG,KEEP
부산 주주배정 유상증자,/부산주주배정유상증자,88,COVERED_STRONG,KEEP
부산 가수금 출자전환,/부산가수금출자전환,88,COVERED_STRONG,KEEP
부산 현물출자 증자,/부산현물출자증자,88,COVERED_STRONG,KEEP
부산 유상증자 준비서류,/부산유상증자등기,88,COVERED_STRONG,KEEP
부산 유상증자 비용,/부산유상증자등기,88,COVERED_STRONG,KEEP
부산 법인 감자,/부산감자등기,84,COVERED_NEEDS_IMPROVEMENT,IMPROVE
부산 법인 지점설치,/부산지점설치등기,88,COVERED_STRONG,KEEP
부산 법인 지점폐지,/부산지점폐지등기,88,COVERED_STRONG,KEEP
부산 휴면법인 계속등기,/부산휴면법인계속등기,88,COVERED_STRONG,KEEP
해운대구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
수영구 개인회생 법무사,/수영구개인회생,84,COVERED_NEEDS_IMPROVEMENT,IMPROVE
연제구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
동래구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
부산진구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
남구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
북구 개인회생 법무사,/북구개인회생,88,COVERED_STRONG,KEEP
사하구 개인회생 법무사,/부산개인회생법무사,94,COVERED_STRONG,KEEP
부산 개인회생 준비서류,/개인회생준비서류,86,COVERED_STRONG,KEEP
부산 개인회생 신청방법,/개인회생준비서류,86,COVERED_STRONG,KEEP
부산 개인파산 신청방법,/개인파산준비서류,86,COVERED_STRONG,KEEP
부산 개인파산 준비서류,/개인파산준비서류,86,COVERED_STRONG,KEEP
부산 임차권등기명령 신청,/부산임차권등기명령,94,COVERED_STRONG,KEEP
부산 임차권등기명령 비용,/부산임차권등기명령,94,COVERED_STRONG,KEEP
부산 전세보증금 지급명령,/민사소송,94,COVERED_STRONG,KEEP
부산 보증금 반환 지급명령,/민사소송,94,COVERED_STRONG,KEEP
부산 미수금 지급명령,/민사소송,94,COVERED_STRONG,KEEP
부산 공사대금 지급명령,/민사소송,94,COVERED_STRONG,KEEP
부산 대여금 지급명령,/민사소송,94,COVERED_STRONG,KEEP
부산 물품대금 지급명령,/민사소송,94,COVERED_STRONG,KEEP
양산 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
양산 상속포기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
양산 한정승인 법무사,/부산법무사,94,COVERED_STRONG,KEEP
양산 법인등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
김해 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
김해 상속포기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
김해 법인등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
울산 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
울산 상속포기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
울주군 상속포기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
창원 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
거제 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
통영 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
경주 상속등기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
포항 상속포기 법무사,/부산법무사,94,COVERED_STRONG,KEEP
